12:15 | (Member (1 month)) Stray Wolf: hand holding 
12:15 | (Member (1 month)) Moeniki: 待機
12:16 | (New member) Pope Boi: im scared bros....
12:16 | (Member (1 month)) ThatVidyaGuy: What fetishes do you hate the most?
12:17 | (New member) Lạc Lạc: OMG it hand holding
12:17 | (New member) Suukotto Funsha: Something more degenerate than NTR. NTR guro
12:22 | (Member (1 month)) Raziel: the desk has got it coming
12:22 | (Member (1 month)) Transcendental_ColonThree: RYONA LETS GOOOOO
12:22 | (Member (1 month)) Tianfang's Adventures: Bea...
12:22 | bejad007: patient....
12:23 | Megumin: bdsm, ntr or handholding?
12:25 | (New member) WizJR W: No worry, you can tell your dads!
12:28 | madvideogamer: netorare?
12:33 | (New member) A A: You're not a fujo are you?
12:36 | (Member (1 month)) Stray Wolf: just give us the TAGs
12:38 | kurokamitenshi: whats more degen than ryona and guro
12:38 | (New member) Ark K.: how about eye licking?
12:38 | (New member) RussianAnimeBot: hand holding?
12:41 | Nue Houjuu: 🥺
12:42 | (Member (1 month)) Zeng: if it's normal how come I've never done it
12:42 | TheHighestNativeGod: watersports? 
12:42 | Question Box: scat?
12:45 | (Member (1 month)) The Flesh Is Weak: Bea is a furry
12:48 | (Member (1 month)) Raziel: Beatani calling your kinks vanilla lol
12:49 | (New member) Vic Kyorlo: based
12:49 | (Member (1 month)) Stray Wolf: ryona can't be vanilla
